,,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,,,,,,,,,,Million $,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Total U.S. food imports,,,43105.80,45416.50,46063.10,49209.30,55328.90,61531.40,67803.60,74649.90,81076.20,88722.20,81220.70,91322.50,107576.90,111802.80,115000.60,125188.60,126777.60,129119.30,137236.60
,,,,,,,,,,,,,,,,,,,,,
Live meat animals,,,1189.70,1419.00,1771.20,1723.90,1276.70,1134.30,1672.00,2172.00,2588.00,2266.40,1655.50,2007.10,1886.50,2192.00,2190.20,3008.60,2772.50,2102.90,2020.00
Meats,,,3260.50,3827.70,4256.20,4283.50,4426.80,5718.50,5751.90,5243.60,5367.30,5059.80,4612.10,5087.80,5755.20,6245.20,6529.80,8940.40,9991.70,8589.10,8877.60
Fish and shellfish,,,8859.80,9879.80,9663.30,9963.30,10859.90,11106.30,11840.20,13112.30,13434.60,13912.00,12933.90,14516.70,16459.40,16467.50,17784.30,20053.50,18520.80,19260.70,21324.10
Dairy,,,930.30,922.30,995.80,1008.80,1110.30,1292.30,1388.40,1405.70,1500.80,1595.60,1353.40,1347.20,1502.10,1604.20,1649.10,1844.30,1893.50,1875.80,1827.20
Vegetables,,,3631.60,3771.40,4156.60,4391.10,5082.40,5730.00,6043.10,6619.30,7256.00,7800.60,7525.20,8705.60,9666.60,9945.60,10733.50,10929.70,11290.20,12469.20,12743.00
Fruits,,,4764.50,4629.50,4665.20,5067.60,5557.70,5962.40,6873.80,7707.10,9217.30,9888.20,9639.80,10649.00,11973.90,12537.90,13602.30,14807.70,15954.90,17157.00,18383.10
Nuts,,,793.90,808.70,670.20,700.50,775.60,1078.40,1121.90,1099.40,1181.40,1350.70,1278.30,1461.70,1863.20,1999.60,2000.20,2360.50,2767.30,2870.80,3300.60
"Coffee, tea, and spices",,,3603.70,3441.80,2400.70,2455.00,2871.90,3144.30,3770.80,4194.90,4791.20,5580.80,5160.30,6265.00,9715.80,8725.70,7633.20,8298.80,8536.20,8310.90,9068.80
Grains,,,2659.50,2734.80,2989.80,3342.80,3618.20,4010.50,4240.70,4910.10,5914.80,7689.60,6846.10,7137.50,8062.80,9111.10,10257.00,10030.90,10030.20,10178.60,10860.80
Vegetable oils,,,1356.90,1362.50,1177.00,1301.60,1506.50,2241.00,2362.60,2818.30,3516.70,5694.60,4039.40,4508.80,6793.60,6235.90,6664.50,7336.60,6304.00,6521.60,7224.70
Sugar and candy,,,1617.70,1571.60,1580.90,1842.60,2130.80,2111.30,2473.70,3021.20,2606.20,3011.00,3081.20,4107.40,5207.40,4783.50,4327.40,4582.30,4705.30,4693.20,4720.50
Cocoa and chocolate,,,1522.50,1404.50,1535.90,1760.90,2439.20,2484.40,2750.60,2659.20,2661.60,3298.80,3476.20,4295.20,4680.60,4095.70,4158.80,4728.00,4859.70,5080.60,5006.50
Other edible products,,,2121.50,2101.70,2252.00,2482.00,3637.20,4784.40,5536.40,5963.10,6080.00,6700.80,6111.30,6781.60,8133.20,10977.60,9831.00,9715.80,9591.60,9351.00,10133.90
Beverages,,,4411.80,4815.90,5101.30,5794.70,6597.50,7024.30,7887.50,9212.10,9912.70,9832.90,8721.00,9262.80,10142.90,10858.50,11247.60,11964.00,12785.70,13492.90,14382.90
Liquors,,,2381.90,2725.50,2847.00,3091.10,3438.20,3709.20,4089.90,4511.50,5047.70,5040.40,4787.00,5189.00,5733.80,6023.00,6391.70,6587.50,6774.20,7165.10,7362.90
